UTC Date & time,Vessel Name,Bollard Pull,Total Nautical Miles, Total Nautical Miles (Km),Fuel Oil Tank Capacity,Fuel Oil Tank Capacity,Name Of Port, Total Speed,Total Fuel Oil Consumption (Litre)
5-Jan-2022,Tug 1,35 Ton,10,20,37,30 Ton,Chennai Port,19,20
6-Jan-2022,Tug 2,45 Ton,15,30,56,35 Ton,Chennai Port,25,35
7-Jan-2022,Tug 3,30 Ton,20,40,74,30 Ton,Chennai Port,22,37
8-Jan-2022,Tug 4,35 Ton,15,30,56,32 Ton,Chennai Port,33,50
9-Jan-2022,Tug 5,40 Ton,12,24,44,35 Ton,Chennai Port,25,35
10-Jan-2022,Tug 6,30 Ton,19,38,70,40 Ton,Chennai Port,19,20
11-Jan-2022,Tug 7,35 Ton,20,40,74,30 Ton,Chennai Port,24,28
12-Jan-2022,Tug 8,40 Ton,10,20,37,35 Ton,Chennai Port,34,33
13-Jan-2022,Tug 9,40 Ton,16,32,59,45 Ton,Chennai Port,36,50
14-Jan-2022,Tug 10,30 Ton,17,34,63,30 Ton,Chennai Port,30,30
